2019-07-14 16:37:27.2589 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:41:00.4964 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:41:04.0603 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:41:58.6318 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:42:23.6571 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:45:20.0271 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:53:11.3624 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 16:58:01.5001 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 17:00:53.3613 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 17:21:27.8578 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 17:39:26.4774 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:17:15.8159 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:18:38.4060 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:19:21.3063 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:24:46.8529 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:31:13.5797 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:32:29.8174 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:36:47.5209 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:39:03.3412 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:40:13.3736 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:42:54.3611 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:44:01.4960 | TRACE | MvcTemplate.Controllers.HomeController | start 

2019-07-14 18:45:56.7958 | TRACE | MvcTemplate.Controllers.HomeController | start 

